date,season,home_team,away_team,ESPN_home_wp,ESPN_away_wp,538_home_wp,538_away_wp,model_home_wp,model_away_wp,Outcome,ModelPredOutcome,Accurate?
2021-02-13,2021,PHO,PHI,0.477,0.523,0.589028395036668,0.41097160496333196,0.533014197518334,0.466985802481666,PHO,PHO,True
2021-02-14,2021,WAS,BOS,0.668,0.332,0.310202542274152,0.689797457725848,0.489101271137076,0.510898728862924,WAS,BOS,False
2021-02-21,2021,NOP,BOS,0.498,0.502,0.527945158162391,0.47205484183760904,0.5129725790811954,0.4870274209188045,NOP,NOP,True
2021-02-26,2021,MEM,LAC,0.669,0.331,0.346833370767193,0.653166629232807,0.5079166853835966,0.49208331461640353,LAC,MEM,False
2021-02-28,2021,MIL,LAC,0.435,0.565,0.555965307887685,0.44403469211231505,0.4954826539438425,0.5045173460561575,MIL,LAC,False
2022-02-05,2022,ORL,MEM,0.691,0.309,0.28772601716508,0.71227398283492,0.48936300858254,0.51063699141746,MEM,MEM,True
2022-02-06,2022,CHI,PHI,0.666,0.334,0.450683294303553,0.549316705696447,0.5583416471517765,0.4416583528482235,PHI,CHI,False
2022-02-06,2022,MIN,DET,0.172,0.828,0.87526293519362,0.12473706480638003,0.52363146759681,0.47636853240319,MIN,MIN,True
2022-02-06,2022,DEN,BRK,0.152,0.848,0.774947746280483,0.22505225371951698,0.4634738731402415,0.5365261268597585,DEN,BRK,False
2022-02-06,2022,CLE,IND,0.242,0.758,0.684532139996442,0.315467860003558,0.463266069998221,0.536733930001779,CLE,IND,False
2022-02-06,2022,ORL,BOS,0.765,0.235,0.20074241664939,0.79925758335061,0.482871208324695,0.517128791675305,BOS,BOS,True
2022-02-06,2022,DAL,ATL,0.418,0.582,0.604868183504817,0.39513181649518303,0.5114340917524085,0.4885659082475915,DAL,DAL,True
2022-02-09,2022,SAC,MIN,0.764,0.236,0.422094050656121,0.577905949343879,0.5930470253280605,0.40695297467193947,SAC,SAC,True
2022-02-12,2022,POR,NYK,0.581,0.419,0.480413046039407,0.5195869539605931,0.5307065230197034,0.46929347698029655,POR,POR,True
2022-02-13,2022,BOS,ATL,0.218,0.782,0.779138300389241,0.22086169961075897,0.4985691501946205,0.5014308498053794,BOS,ATL,False
2022-02-13,2022,IND,MIN,0.667,0.333,0.464897353487732,0.535102646512268,0.565948676743866,0.43405132325613405,MIN,IND,False
2022-02-26,2022,DET,BOS,0.812,0.188,0.152033126120064,0.847966873879936,0.48201656306003204,0.517983436939968,BOS,BOS,True
2022-02-27,2022,NYK,PHI,0.651,0.349,0.376558197838258,0.623441802161742,0.513779098919129,0.486220901080871,PHI,NYK,False
2022-02-27,2022,PHO,UTA,0.535,0.465,0.617971983295794,0.38202801670420605,0.576485991647897,0.42351400835210307,UTA,PHO,False
2022-02-27,2022,IND,BOS,0.78,0.22,0.303572481879203,0.6964275181207971,0.5417862409396015,0.4582137590603985,IND,IND,True
2018-03-04,2018,ATL,PHO,0.301,0.699,,,,,ATL,NA,False
2018-03-04,2018,TOR,CHO,0.182,0.818,,,,,TOR,NA,False
2018-03-04,2018,WAS,IND,0.322,0.678,,,,,IND,NA,False
2018-03-10,2018,CHO,PHO,0.183,0.817,,,,,CHO,NA,False
2018-03-11,2018,NYK,TOR,0.73,0.27,,,,,TOR,NA,False
